Failure Name,NGA_Link,Station Name,Stage,Debug Snapshot,Group Name,Failure_Id,SightingId,AxonSV Record Viewer,Signatures
431ab1f3,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/431ab1f3-ee36-4d6a-9a55-3197da310fc0,ba05wvaw0290,PreBoot,,DefaultFlowBasicTest,431ab1f3-ee36-4d6a-9a55-3197da310fc0,NA,,[]
b69b87c7,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/b69b87c7-a5d3-4620-93da-db6b59aea83f,ba05wvaw0283,PreBoot,,DefaultFlowBasicTest,b69b87c7-a5d3-4620-93da-db6b59aea83f,NA,,[]
6c83eae1,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/6c83eae1-f6ec-4117-a5e2-893bbfd6deb7,ba05wvaw0232,PostTest,f8123d6a-f5e7-4a2e-b2f8-a824fa5ea8c5,DefaultFlowBasicTest,6c83eae1-f6ec-4117-a5e2-893bbfd6deb7,NA,https://axonsv.app.intel.com/apps/record-viewer/f8123d6a-f5e7-4a2e-b2f8-a824fa5ea8c5,"['HW.CORR', 'HW.CFG.ERR', 'HW', 'HW.ERR']"
80604ce4,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/80604ce4-bd03-4852-893c-0a1a1eee2bf1,ba05wvaw0289,PreBoot,,DefaultFlowBasicTest,80604ce4-bd03-4852-893c-0a1a1eee2bf1,NA,,[]
4af1fabf,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/4af1fabf-7cc7-4513-88a5-c3424c312d3f,ba05wvaw0278,PostTest,3c38eb36-5c29-4c6e-ad76-9720db344be3,CI_GNR_D_DF,4af1fabf-7cc7-4513-88a5-c3424c312d3f,NA,https://axonsv.app.intel.com/apps/record-viewer/3c38eb36-5c29-4c6e-ad76-9720db344be3,"['HW.CORR', 'HW.ERR', 'HW.CFG.ERR', 'HW']"
4b5baf4b,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/4b5baf4b-d679-4e57-b849-f9dedbd0f7e0,ba05wvaw0279,PreBoot,,CI_GNR_D_DF,4b5baf4b-d679-4e57-b849-f9dedbd0f7e0,NA,,[]
02a00930,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/02a00930-48c2-472b-9e3f-5819d09d8bf2,ba05wvaw0232,PostTest,47837f62-4e30-7781-86a0-5cab0f4a9649,DefaultFlowBasicTest,02a00930-48c2-472b-9e3f-5819d09d8bf2,NA,https://axonsv.app.intel.com/apps/record-viewer/47837f62-4e30-7781-86a0-5cab0f4a9649,"['HW.CORR', 'HW.CFG.ERR', 'HW.MCE.IIO', 'HW', 'HW.MCE', 'HW.ERR']"
68a903d8,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/68a903d8-bf9f-4f1c-9992-0ca9e1a34d04,ba05wvaw0208,PreBoot,,CI_GNR_D_DF,68a903d8-bf9f-4f1c-9992-0ca9e1a34d04,NA,,[]
761efb0e,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/761efb0e-88da-47fa-8786-428ba522ad40,ba05wvaw0232,PostTest,25c09a3a-a206-4b18-844d-9d90a265d3b9,DefaultFlowBasicTest,761efb0e-88da-47fa-8786-428ba522ad40,NA,https://axonsv.app.intel.com/apps/record-viewer/25c09a3a-a206-4b18-844d-9d90a265d3b9,"['HW.CORR', 'HW.CFG.ERR', 'HW', 'HW.ERR']"
32506faf,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/32506faf-b8c5-4d1f-8de6-24921c687e0d,ba05wvaw0278,PostTest,52b258b8-ca93-4ae4-bb82-adc00be6028f,CI_GNR_D_DF,32506faf-b8c5-4d1f-8de6-24921c687e0d,NA,https://axonsv.app.intel.com/apps/record-viewer/52b258b8-ca93-4ae4-bb82-adc00be6028f,"['HW.CORR', 'HW.CFG.ERR', 'HW', 'HW.ERR']"
bb7857f2,https://nga.laas.intel.com/#/nga_fv_gnrd/failureManagement/failures/bb7857f2-066d-41f9-a9f0-c2a66598630f,ba05wvaw0232,PostTest,ccb8c130-4551-4014-becc-0fd64031e92c,DefaultFlowBasicTest,bb7857f2-066d-41f9-a9f0-c2a66598630f,NA,https://axonsv.app.intel.com/apps/record-viewer/ccb8c130-4551-4014-becc-0fd64031e92c,"['HW.CORR', 'HW.CFG.ERR', 'HW', 'HW.ERR']"
